locationId,name
1,BA1
2,BA2
3,BA3
4,BA4
5,BA5
6,BA7
7,BA8
8,BU
9,CV
10,FA1
11,FA2
12,FA3
13,MAL
14,PAK
15,PP
16,PRE
17,PT
18,RA
19,RIDE
20,RT
