id,total,m20vref,m20v,massref,mass
38,11754,M20V01921,FA-2,MASS01759,P/BA-1/BA-4
39,13158,M20V01920,FA-2,MASS01769,BA-3/BA-4Panas
40,13500,M20V01450,FA-1,MASS01448,BA-5
41,13608,M20V00807,FA-2,MASS01000,BA-4StABB/P/BA-1
42,11573,M20V01111,FA-2,MASS01203,BA-3/BA-4
43,10323,M20V01289,FA-2,MASS01336,BA-1/BA-4ABB
44,13760,M20V00227,FA-1,MASS00491,BA-5
45,14589,M20V01229,FA-2,MASS01294,P/BA-3
46,12496,M20V00808,FA-2,MASS01001,BA-4StABB/P/BA-1
47,10379,M20V01110,FA-2,MASS01202,BA-3/BA-4
48,11848,M20V01084,FA-3,MASS01189,P/BA-3
49,12302,M20V00600,FA-2,MASS00849,P/BA-1/BA-4ABB
50,12012,M20V00598,FA-2,MASS00847,P/BA-1/BA-4ABB
51,10166,M20V01382,FA-2,MASS01336,BA-1/BA-4ABB
52,11527,M20V00259,FA-1,MASS00536,BA-5
53,12041,M20V00776,FA-2,MASS00952,P/BA-1/BA-4CLOOS
54,12165,M20V00542,FA-2,MASS00805,P/BA-1/BA-4Z
55,8691,M20V00200,FA-1,MASS00444,BA-5
56,11357,M20V00277,FA-2,MASS00549,BA-1/BA-4CLOOS
57,8105,M20V01497,FA-1,MASS01464,BA-7
58,10456,M20V00249,FA-2,MASS00518,BA-1/BA-4ABB
59,15442,M20V00212,FA-1,MASS00474,BA-5
60,10512,M20V00477,FA-1,MASS00746,BA-5
61,9384,M20V01979,FA-2,MASS01786,BA-2
62,11874,M20V01490,FA-1,MASS00940,BA-5
63,10335,M20V00248,FA-2,MASS00517,BA-1/BA-4ABB
64,7564,M20V01364,FA-2,MASS01384,BA-1/BA-4ZABB
65,11124,M20V00199,FA-1,MASS00443,BA-5
66,10983,M20V00213,FA-1,MASS00475,BA-5
67,8593,M20V01509,FA-1,MASS01476,BA-5
68,11188,M20V00476,FA-1,MASS00745,BA-5
69,9694,M20V01412,FA-1,MASS00982,BA-5
70,8994,M20V00224,FA-2,MASS00488,BA-1/BA-4CLOOS
71,11800,M20V00460,FA-1,MASS00730,BA-5
72,8051,M20V00700,FA-1,MASS00929,BA-1/BA-8EsSSW
73,9544,M20V00177,FA-1,MASS00422,BA-7
74,7872,M20V01446,FA-1,MASS00486,BA-5
75,9070,M20V00088,FA-1,MASS00337,BA-5/BA-7
76,11111,M20V00057,FA-1,MASS00299,BA-5
77,7756,M20V00229,FA-2,MASS00494,BA-1/BA-4ABB
78,10077,M20V00866,FA-2,MASS01039,BA-4St/P/BA-1
79,8750,M20V01930,FA-2,MASS01767,BA-3/BA-4Panas
80,11051,M20V00181,FA-1,MASS00425,BA-5
81,9177,M20V00263,FA-1,MASS00540,BA-5
82,9812,M20V00131,FA-1,MASS00384,BA-5/BA-8EsSSW
83,4673,M20V01552,FA-2,MASS01501,BA-1/BA-4ABB
84,7524,M20V00100,FA-1,MASS00351,BA-5/BA-7
85,7724,M20V01513,FA-1,MASS00477,BA-7
86,8275,M20V00965,FA-2,MASS01119,P/BA-1/BA-4ABB
87,6452,M20V00657,FA-1,MASS00895,BA-5
88,9453,M20V00766,FA-1,MASS00957,BA-5
89,7659,M20V00233,FA-1,MASS00497,BA-5
90,9047,M20V00342,FA-1,MASS00608,BA-5
91,6551,M20V01487,FA-1,MASS01460,BA-7
92,9038,M20V00907,FA-2,MASS01089,P/BA-1/BA-4CLOOS
93,9027,M20V00906,FA-2,MASS01088,P/BA-1/BA-4CLOOS
94,8448,M20V00810,FA-1,MASS01073,BA-5/BA-8EsSSP
95,7953,M20V00030,FA-2,MASS00257,BA-2Z
96,7966,M20V01463,FA-2,MASS01453,BA-2/BA-4St
97,8001,M20V01486,FA-1,MASS00486,BA-5
98,9725,M20V00478,FA-1,MASS00747,BA-5/BA-8Es/RAx2
99,8485,M20V00234,FA-1,MASS00506,BA-5
100,8089,M20V00979,FA-2,MASS01131,P/BA-2
101,8067,M20V01688,FA-2,MASS01589,BA-3/BA-4Panas
102,8309,M20V00122,FA-1,MASS00377,BA-5/BA-7
103,7076,M20V00882,FA-2,MASS01039,BA-4St/P/BA-1
104,5730,M20V01115,FA-2,MASS01202,BA-3/BA-4
105,7209,M20V00815,FA-1,MASS01007,BA-5
106,8044,M20V00125,FA-1,MASS00379,BA-5/BA-8Es
107,7243,M20V00324,FA-2,MASS00538,BA-2
108,7556,M20V00081,FA-1,MASS00331,BA-5/BA-7
109,7767,M20V00029,FA-2,MASS00256,BA-2Z
110,9574,M20V00023,FA-2,MASS00253,BA-2
111,6542,M20V00488,FA-1,MASS00759,BA-5
112,7602,M20V00325,FA-2,MASS00537,BA-2
113,6914,M20V00710,FA-2,MASS00917,BA-2
114,8505,M20V00496,FA-1,MASS00768,BA-5
115,6141,M20V00832,FA-2,MASS01022,BA-1/BA-4StABB
116,7928,M20V01529,FA-1,MASS01486,BA-7
117,7343,M20V01646,FA-1,MASS01562,BA-7
118,11466,M20V00198,FA-1,MASS00442,BA-5/BA-8EsSSW
119,6383,M20V01384,FA-2,MASS01384,BA-1/BA-4ZABB
120,8025,M20V00753,FA-2,MASS00967,P/BA-2
121,6752,M20V00773,FA-2,MASS00978,P/BA-1/BA-4St
122,6212,M20V00065,FA-1,MASS00318,BA-5/BA-7
123,5926,M20V01491,FA-1,MASS00864,BA-7
124,14382,M20V01466,FA-1,MASS01454,BA-5/BA-8Es
125,5268,M20V01087,FA-2,MASS01183,BA-2
126,6415,M20V00604,FA-2,MASS00853,P/BA-1/BA-4St
127,5659,M20V01116,FA-2,MASS01203,BA-3/BA-4
128,5417,M20V01152,FA-2,MASS01234,P/BA-1/BA-4ABB
129,5799,M20V00295,FA-2,MASS00559,BA-2
130,5006,M20V01898,FA-2,MASS01755,P/BA-1/BA-4
131,6821,M20V00024,FA-2,MASS00254,BA-2Z
132,6970,M20V00290,FA-1,MASS00358,BA-5/BA-8Es
133,8522,M20V00171,FA-1,MASS00418,BA-5
134,6062,M20V00296,FA-2,MASS00560,BA-2
135,5446,M20V00321,FA-1,MASS00587,BA-5
136,6755,M20V00814,FA-1,MASS00676,BA-5/BA-8EsSSP
137,7723,M20V00738,FA-2,MASS00955,P/BA-2Z
138,5459,M20V01148,FA-3,MASS01218,BA-3/BA-4Panas
139,6785,M20V00226,FA-1,MASS00490,BA-5
140,6539,M20V00028,FA-2,MASS00255,BA-2Z
141,6856,M20V01495,FA-1,MASS01448,BA-5
142,6001,M20V00975,FA-2,MASS01127,BA-1/BA-4ABB
143,5543,M20V00224,FA-2,MASS00488,BA-1/BA-4CLOOS
144,5008,M20V01279,FA-2,MASS01178,BA-2Z
145,5529,M20V00952,FA-1,MASS01113,BA-5
146,5653,M20V00914,FA-2,MASS01092,P/BA-1/BA-4ABB
147,5432,M20V00696,FA-1,MASS00927,BA-5
148,6283,M20V00634,FA-2,MASS00877,P/BA-1/BA-4ABB
149,16029,M20V00182,FA-1,MASS00426,BA-5
150,5707,M20V00310,FA-2,MASS00221,BA-2
151,4721,M20V01280,FA-2,MASS01179,BA-2Z
152,6589,M20V00283,FA-1,MASS00552,BA-5
153,4621,M20V00632,FA-2,MASS00849,P/BA-1/BA-4ABB
154,6200,M20V00467,FA-1,MASS00737,BA-5
155,5303,M20V01488,FA-1,MASS01315,BA-7
156,4129,M20V01281,FA-3,MASS01332,P/BA-3/BA-4Panas
157,5770,M20V01493,FA-1,MASS01462,BA-5
158,6408,M20V00258,FA-1,MASS00534,BA-5/BA-8SSPSSW
159,6511,M20V00204,FA-1,MASS00460,BA-5/BA-8SSP
160,5849,M20V00005,FA-2,MASS00221,BA-2
161,5909,M20V00006,FA-2,MASS00222,BA-2
162,5131,M20V00366,FA-1,MASS00640,BA-5
163,7440,M20V01538,FA-1,MASS00960,BA-7
164,4918,M20V01207,FA-2,MASS01274,P/BA-2
165,6633,M20V01460,FA-1,MASS00486,BA-5
166,4916,M20V00614,FA-1,MASS00861,BA-5
167,6382,M20V00806,FA-2,MASS00999,BA-4St/P/BA-1
168,4773,M20V01311,FA-1,MASS01350,BA-5
169,4399,M20V00628,FA-1,MASS00874,BA-5
170,4600,M20V00757,FA-2,MASS00968,BA-1/BA-4ABB
171,5059,M20V00498,FA-1,MASS00770,BA-5
172,5150,M20V00092,FA-1,MASS00341,BA-5/BA-7
173,5862,M20V00851,FA-1,MASS01026,BA-5/BA-8SSP
174,5710,M20V01385,FA-1,MASS01009,BA-7
175,3737,M20V01099,FA-2,MASS01202,BA-3/BA-4
176,5575,M20V00077,FA-1,MASS00328,BA-5
177,6136,M20V00323,FA-2,MASS00576,P/BA-2/BA-4ABB
178,4359,M20V00066,FA-1,MASS00302,BA-5/BA-7
179,3671,M20V00591,FA-2,MASS00805,P/BA-1/BA-4Z
180,4193,M20V01027,FA-2,MASS01124,BA-1/BA-4ABB
181,4382,M20V00620,FA-1,MASS00870,BA-5
182,5443,M20V00161,FA-1,MASS00400,BA-5/BA-8SSP
183,4547,M20V01498,FA-1,MASS00960,BA-7
184,5405,M20V01906,FA-2,MASS01760,P/BA-2/BA-4Panas
185,3948,M20V01768,FA-2,MASS01657,BA-1/BA-4ABB
186,4581,M20V00232,FA-2,MASS00488,BA-1/BA-4CLOOS
187,5771,M20V00286,FA-1,MASS00555,BA-5
188,5902,M20V00905,FA-3,MASS01087,P/BA-1/BA-4CLOOS
189,3966,M20V00330,FA-2,MASS00405,BA-1/BA-4St
190,3091,M20V01398,FA-2,MASS01336,BA-1/BA-4ABB
191,5363,M20V00624,FA-1,MASS00872,BA-5
192,3978,M20V01454,FA-1,MASS00486,BA-5
193,5027,M20V00787,FA-1,MASS00983,BA-5
194,5343,M20V00909,FA-3,MASS01090,P/BA-1/BA-4CLOOS
195,5770,M20V00190,FA-1,MASS00435,BA-5
196,6535,M20V00407,FA-1,MASS00676,BA-5/BA-8EsSSP
197,8375,M20V00964,FA-2,MASS01118,P/BA-1/BA-4ABB
198,4824,M20V01907,FA-2,MASS01761,P/BA-2/BA-4Panas
199,5141,M20V00829,FA-1,MASS01019,BA-5
200,4785,M20V01129,FA-3,MASS01218,BA-3/BA-4Panas
201,4324,M20V01025,FA-2,MASS01124,BA-1/BA-4ABB
202,4679,M20V01459,FA-1,MASS00486,BA-5
203,3579,M20V00329,FA-2,MASS00404,BA-1/BA-4St
204,4357,M20V00252,FA-1,MASS00228,BA-5/BA-7
205,3861,M20V00988,FA-2,MASS01118,P/BA-1/BA-4ABB
206,3580,M20V00306,FA-1,MASS00569,BA-5
207,6828,M20V00166,FA-1,MASS00413,BA-5/BA-8SSP
208,5521,M20V00816,FA-2,MASS01008,BA-4St/P/BA-1
209,5027,M20V00303,FA-1,MASS00567,BA-5/BA-8SSPSSW
210,3002,M20V00343,FA-2,MASS00609,BA-1/BA-4ABB
211,3426,M20V01897,FA-2,MASS01754,P/BA-1/BA-4
212,3098,M20V00355,FA-2,MASS00627,BA-1/BA-4ABB
213,4645,M20V01138,FA-2,MASS01224,P/BA-3/BA-4St
214,3923,-,-,brak,brak
215,3601,M20V01940,FA-2,MASS01786,BA-2
216,3903,M20V01523,FA-1,MASS01481,BA-5/BA-8SSP
217,3658,M20V00487,FA-1,MASS00758,BA-7
218,4956,M20V00692,FA-2,MASS00923,P/BA-2
219,4659,M20V00179,FA-1,MASS00351,BA-5/BA-7
220,3995,M20V01464,FA-2,MASS01453,BA-2/BA-4St
221,3019,M20V01558,FA-1,MASS00801,BA-7
222,3667,M20V01611,FA-1,MASS01536,BA-7
223,3932,M20V00782,FA-1,MASS00981,BA-5
224,4375,M20V00270,FA-1,MASS00544,BA-5
225,4254,M20V00502,FA-1,MASS00772,BA-5
226,3998,M20V00619,FA-1,MASS00869,BA-5
227,3305,M20V01903,FA-2,MASS01759,P/BA-1/BA-4
228,3724,M20V00741,FA-1,MASS00947,BA-5/BA-8SSW
229,3744,M20V00236,FA-1,MASS00510,BA-5
230,3706,M20V00720,FA-1,MASS00945,BA-5
231,3159,M20V01643,FA-2,MASS01559,BA-3Z/BA-4Panas
232,4008,M20V01130,FA-3,MASS01219,BA-3/BA-4Panas
233,3403,M20V01169,FA-2,MASS01119,P/BA-1/BA-4ABB
234,10887,M20V00144,FA-1,MASS00392,BA-5/BA-8EsSSW
235,4131,M20V00682,FA-1,MASS00914,BA-5
236,3227,M20V00359,FA-1,MASS00633,BA-5/BA-8Es
237,3209,M20V00528,FA-2,MASS00793,BA-1/BA-4ABB
238,4612,M20V00260,FA-2,MASS00537,BA-2
239,2869,M20V00761,FA-1,MASS00791,BA-5
240,3657,M20V01309,FA-2,MASS01348,BA-3Z
241,3860,M20V00370,FA-1,MASS00644,BA-5
242,4298,M20V00261,FA-2,MASS00538,BA-2
243,4078,M20V00247,FA-1,MASS00516,BA-5
244,3680,M20V00724,FA-1,MASS00948,BA-5
245,3446,M20V00926,FA-2,MASS01098,P/BA-1/BA-4ABB
246,3691,M20V00580,FA-1,MASS00830,BA-5
247,3737,M20V00763,FA-1,MASS00972,BA-5
248,3010,M20V00784,FA-1,MASS00982,BA-5
249,2813,M20V01516,FA-1,MASS00477,BA-7
250,2531,M20V01756,FA-2,MASS01643,P/BA-3/BA-4Z
251,3515,M20V01366,FA-1,MASS00929,BA-1/BA-8EsSSW
252,3188,M20V00660,FA-2,MASS00898,BA-2
253,3242,M20V01168,FA-2,MASS01118,P/BA-1/BA-4ABB
254,4396,M20V00685,FA-2,MASS00917,BA-2
255,3647,M20V00155,FA-1,MASS00402,BA-5/BA-8SW
256,15843,M20V00193,FA-1,MASS00437,BA-5
257,3547,M20V00351,FA-1,MASS00617,BA-5
258,4185,M20V00082,FA-1,MASS00332,BA-5/BA-7
259,8841,M20V00257,FA-1,MASS00533,BA-5
260,2617,M20V01945,FA-2,MASS01769,BA-3/BA-4Panas
261,2985,M20V01817,FA-2,MASS01687,BA-3/BA-4ABB
262,3098,M20V00340,FA-1,MASS00606,BA-5
263,3904,M20V01530,FA-1,MASS01460,BA-7
264,2567,M20V00507,FA-1,MASS00776,BA-5
265,1729,M20V00400,FA-1,MASS00668,BA-5
266,3863,M20V00912,FA-3,MASS01087,P/BA-1/BA-4CLOOS
267,3560,M20V00767,FA-1,MASS00973,BA-5
268,3529,M20V00904,FA-2,MASS01023,BA-1/BA-4CLOOS
269,3358,M20V00877,FA-1,MASS01059,BA-5/BA-8EsSSP
270,3348,M20V01650,FA-1,MASS01566,BA-7
271,3341,M20V00833,FA-2,MASS01022,BA-1/BA-4StABB
272,2815,M20V01489,FA-1,MASS00486,BA-5
273,2626,M20V01542,FA-1,MASS01491,BA-7/BA-8SSP
274,2215,M20V01341,FA-2,MASS01336,BA-1/BA-4ABB
275,2195,M20V01669,FA-1,MASS01303,BA-5
276,4086,M20V00648,FA-1,MASS00887,BA-5
277,2672,M20V01941,FA-2,MASS01787,BA-2
278,2528,M20V01755,FA-2,MASS01642,P/BA-3/BA-4Z
279,2757,M20V00636,FA-2,MASS00878,BA-1/BA-4ABB
280,2700,M20V00463,FA-1,MASS00733,BA-5
281,3595,M20V01071,FA-2,MASS01175,P/BA-3/BA-4Panas
282,2716,M20V01664,FA-1,MASS01573,BA-7
283,3478,M20V01501,FA-1,MASS01468,BA-7
284,2542,M20V01386,FA-2,MASS01395,P/BA-3
285,3354,M20V00743,FA-1,MASS00958,BA-5
286,3630,M20V00838,FA-1,MASS01025,BA-5
287,2945,M20V01624,FA-1,MASS01547,BA-7
288,2914,M20V00927,FA-2,MASS01099,P/BA-1/BA-4ABB
289,2909,M20V00930,FA-2,MASS01102,P/BA-1/BA-4ABB
290,2880,M20V00961,FA-2,MASS01101,P/BA-1/BA-4ABB
291,2608,M20V01944,FA-2,MASS01767,BA-3/BA-4Panas
292,2838,M20V00740,FA-1,MASS00957,BA-5
293,2628,M20V02307,FA-1,MASS02009,BA-7
294,1538,M20V01337,FA-1,MASS01363,BA-1/BA-4
295,2728,M20V01029,FA-2,MASS01124,BA-1/BA-4ABB
296,4261,M20V00479,FA-1,MASS00748,BA-5
297,3083,M20V01212,FA-2,MASS01278,P/BA-1/BA-4ZPanas
298,2824,M20V00811,FA-1,MASS01004,BA-5
299,3219,M20V00459,FA-1,MASS00228,BA-5/BA-7
300,3478,M20V01019,FA-2,MASS01085,BA-4St/P/BA-1
301,3052,M20V01211,FA-2,MASS01277,P/BA-1/BA-4ZPanas
302,2896,M20V01017,FA-2,MASS01127,BA-1/BA-4ABB
303,2814,M20V01365,FA-2,MASS01374,BA-1/BA-4CLOOS
304,2623,M20V02311,FA-1,MASS02012,BA-5/BA-8
305,2608,M20V01554,FA-1,MASS01503,BA-7
306,2578,M20V00305,FA-2,MASS00550,BA-1/BA-4CLOOS
307,2361,M20V00336,FA-2,MASS00602,BA-1/BA-4ZST
308,2330,M20V01097,FA-2,MASS01200,P/BA-3
309,2080,M20V00915,FA-2,MASS01092,P/BA-1/BA-4ABB
310,3430,M20V01499,FA-1,MASS01466,BA-5
311,4660,M20V01583,FA-1,MASS01519,BA-7
312,2868,M20V00609,FA-1,MASS00858,BA-5/BA-8Es
313,3007,M20V01514,FA-1,MASS01315,BA-7
314,3473,M20V00778,FA-1,MASS00980,BA-5
315,1993,M20V01860,FA-2,MASS01726,BA-3
316,2672,M20V00722,FA-1,MASS00497,BA-5
317,3039,M20V00677,FA-2,MASS00911,BA-1/BA-4St
318,2680,M20V01153,FA-2,MASS01235,BA-3/BA-4
319,2510,M20V00369,FA-1,MASS00643,BA-5
320,2132,M20V00360,FA-2,MASS00634,BA-1/BA-4ABB
321,2150,M20V01246,FA-2,MASS01308,P/BA-1/BA-4CLOOS
322,2797,M20V00683,FA-1,MASS00915,BA-5
323,2401,M20V01221,FA-2,MASS01288,P/BA-2
324,2540,M20V00659,FA-1,MASS00897,BA-5
325,3838,M20V00228,FA-1,MASS00493,BA-5/BA-8SSP
326,2772,M20V00402,FA-1,MASS00670,BA-5/BA-8Es
327,2087,M20V00067,FA-1,MASS00318,BA-5/BA-7
328,3263,M20V00719,FA-2,MASS00944,P/BA-2
329,3589,M20V00813,FA-1,MASS01006,BA-5/BA-8SSPSSW
330,3061,M20V00264,FA-2,MASS00541,BA-1/BA-4CLOOS
331,3056,M20V01452,FA-1,MASS01447,BA-7
332,2723,M20V01154,FA-2,MASS01236,BA-3/BA-4Panas
333,2701,M20V00929,FA-2,MASS01101,P/BA-1/BA-4ABB
334,2570,M20V00747,FA-1,MASS00963,BA-5
335,2398,M20V01066,FA-2,MASS01180,P/BA-3/BA-4Panas
336,2247,M20V01263,FA-2,MASS01285,P/BA-3
337,2443,M20V00302,FA-2,MASS00549,BA-1/BA-4CLOOS
338,3023,M20V00923,FA-2,MASS01089,P/BA-1/BA-4CLOOS
339,2152,M20V01893,FA-2,MASS01752,P/BA-1/BA-4
340,3480,M20V00062,FA-1,MASS00302,BA-5/BA-7
341,2013,M20V00357,FA-2,MASS00404,BA-1/BA-4St
342,2422,M20V00931,FA-2,MASS01098,P/BA-1/BA-4ABB
343,3175,M20V00922,FA-2,MASS01088,P/BA-1/BA-4CLOOS
344,1999,M20V01224,FA-2,MASS01291,BA-2
345,1820,M20V01288,FA-2,MASS01336,BA-1/BA-4ABB
346,1962,M20V01225,FA-2,MASS01292,BA-2
347,1681,M20V00397,FA-2,MASS00665,BA-2Z
348,2136,M20V00133,FA-1,MASS00384,BA-5/BA-8EsSSW
349,2249,M20V00384,FA-1,MASS00656,BA-5
350,2770,M20V00348,FA-1,MASS00614,BA-5
351,2977,M20V00943,FA-1,MASS01108,BA-5
352,2952,M20V00109,FA-1,MASS00360,BA-5/BA-8SSW
353,2536,M20V01577,FA-3,MASS01520,P/BA-1/BA-4Z
354,2891,M20V00312,FA-1,MASS00570,BA-5/BA-8SSP
355,2377,M20V00387,FA-1,MASS00659,BA-5
356,2957,M20V00371,FA-1,MASS00645,BA-5/BA-8SSPSSW
357,3015,M20V00848,FA-2,MASS01024,BA-4St/P/BA-1
358,2597,M20V00680,FA-1,MASS00912,BA-5/BA-8SSW
359,2404,M20V01578,FA-3,MASS01521,BA-1/BA-4Z
360,2547,M20V00240,FA-1,MASS00513,BA-5
361,2400,M20V01374,FA-3,MASS01370,P/BA-3/BA-4Z
362,2797,M20V00796,FA-1,MASS00901,BA-5/BA-8SSP
363,2739,M20V01023,FA-2,MASS01159,P/BA-1/BA-4St
364,2454,M20V02342,FA-1,MASS01007,BA-5
365,2364,M20V00097,FA-1,MASS00331,BA-5/BA-7
366,2362,M20V01375,FA-3,MASS01371,P/BA-3/BA-4Z
367,2332,M20V00597,FA-1,MASS00846,BA-5
368,2161,M20V00367,FA-2,MASS00641,BA-1/BA-4ABB
369,2067,M20V00164,FA-2,MASS00411,BA-2
370,2026,M20V01606,FA-1,MASS00864,BA-7
371,1902,M20V00089,FA-1,MASS00388,BA-5
372,1569,M20V00374,FA-2,MASS00221,BA-2
373,2071,M20V00333,FA-2,MASS00601,BA-1/BA-4ZST
374,2638,M20V01277,FA-2,MASS00254,BA-2Z
375,2039,M20V01461,FA-1,MASS01451,BA-7
376,3599,M20V00326,FA-1,MASS00590,BA-5
377,2276,M20V00978,FA-1,MASS01130,BA-5
378,1774,M20V00702,FA-2,MASS00890,BA-2
379,1951,M20V00840,FA-2,MASS01027,BA-4St/P/BA-1
380,3402,M20V00376,FA-1,MASS00648,BA-5
381,2187,M20V01714,FA-2,MASS01613,P/BA-2
382,2729,M20V00126,FA-1,MASS00380,BA-5/BA-8SSW
383,2665,M20V00714,FA-1,MASS00940,BA-5
384,1902,M20V01147,FA-1,MASS01242,BA-5/BA-8SSW
385,1341,M20V01784,FA-2,MASS01668,P/BA-3/BA-4Z
386,2672,M20V00044,FA-2,MASS00271,BA-2Z
387,2162,M20V00420,FA-1,MASS00402,BA-5/BA-8SW
388,1248,M20V01731,FA-2,MASS01626,P/BA-2
389,2033,M20V00941,FA-3,MASS01087,P/BA-1/BA-4CLOOS
390,2270,M20V00655,FA-1,MASS00893,BA-5
391,2415,M20V00090,FA-1,MASS00329,BA-5
392,1888,M20V01267,FA-3,MASS01323,P/BA-3
393,2140,M20V00495,FA-1,MASS00767,BA-7
394,2030,M20V00990,FA-1,MASS01009,BA-7
395,2002,M20V00889,FA-1,MASS01073,BA-5/BA-8EsSSP
396,2638,M20V00673,FA-1,MASS00907,BA-5
397,2327,M20V00504,FA-1,MASS00773,BA-5
398,2640,M20V00613,FA-2,MASS00853,P/BA-1/BA-4St
399,2069,M20V00895,FA-1,MASS01077,BA-5
400,2067,M20V01195,FA-3,MASS01266,P/BA-3
401,2040,M20V01539,FA-1,MASS01471,BA-5s
402,1830,M20V00842,FA-1,MASS01029,BA-5
403,1639,M20V01423,FA-2,MASS01384,BA-1/BA-4ZABB
404,1620,M20V00797,FA-1,MASS00994,BA-5
405,1384,M20V01325,FA-2,MASS01332,P/BA-3/BA-4Panas
406,2142,M20V00768,FA-1,MASS00974,BA-5
407,2030,M20V00335,FA-2,MASS00222,BA-2
408,2552,M20V01570,FA-2,MASS01339,P/BA-1
409,2211,M20V01515,FA-1,MASS00856,BA-7
410,4334,M20V00959,FA-1,MASS01113,BA-5
411,1731,M20VC1183,FC-1,MASSC1259,BC-1
412,1290,M20V01913,FA-2,MASS01765,BA-3/BA-4Panas
413,2095,M20V00003,FA-2,MASS00227,BA-2
414,2106,M20V01613,FA-1,MASS01538,BA-7
415,1519,M20V00974,FA-2,MASS01124,BA-1/BA-4ABB
416,1636,M20V00643,FA-1,MASS00883,BA-5/BA-8SSP
417,1216,M20V01783,FA-2,MASS01667,P/BA-3/BA-4Z
418,1094,M20V00769,FA-2,MASS00975,P/BA-2
419,1990,M20V00948,FA-2,MASS01110,BA-1/BA-4CLOOS
420,1490,M20V01593,FA-1,MASS00989,BA-5
421,2079,M20V01649,FA-1,MASS01010,BA-5/BA-8Es
422,1869,M20V00884,FA-1,MASS01026,BA-5/BA-8SSP
423,2288,M20V01068,FA-1,MASS01132,BA-5/BA-8SSP
424,2013,M20V00607,FA-1,MASS00856,BA-7
425,1481,M20V00123,FA-1,MASS00378,BA-5/BA-8SSP
426,1963,M20V01058,FA-2,MASS01175,P/BA-3/BA-4Panas
427,2003,M20V00503,FA-1,MASS00773,BA-5
428,2387,M20V00408,FA-1,MASS00677,BA-5
429,1616,M20V01012,FA-1,MASS01149,BA-5
430,2025,M20V00334,FA-2,MASS00221,BA-2
431,1637,M20V00828,FA-1,MASS01018,BA-5
432,2349,M20V01031,FA-2,MASS01124,BA-1/BA-4ABB
433,2128,M20V00001,FA-2,MASS00226,BA-2Z
434,2025,M20V00631,FA-1,MASS00876,BA-7/BA-8SSP
435,2022,M20V00872,FA-2,MASS00999,BA-4St/P/BA-1
436,2020,M20V00771,FA-2,MASS00976,BA-1/BA-4CLOOS
437,2003,M20V01537,FA-1,MASS00434,BA-7
438,1983,M20V00854,FA-2,MASS01039,BA-4St/P/BA-1
439,1962,M20V00944,FA-2,MASS01088,P/BA-1/BA-4CLOOS
440,1930,M20V01073,FA-2,MASS01181,BA-3/BA-4Panas
441,1847,M20V01727,FA-3,MASS01624,BA-3/BA-4Cloos
442,1520,M20V01085,FA-2,MASS01190,BA-4St/BA-3
443,1505,M20V01548,FA-1,MASS00758,BA-7
444,1486,M20V01670,FA-1,MASS01459,BA-5
445,1382,M20V00316,FA-2,MASS00576,P/BA-2/BA-4ABB
446,1352,M20V01226,FA-2,MASS01291,BA-2
447,1338,M20V01327,FA-2,MASS01356,P/BA-2
448,1781,M20V01120,FA-2,MASS01146,BA-1/BA-4ABB
449,1541,M20V00758,FA-2,MASS00967,P/BA-2
450,1280,M20V01806,FA-2,MASS01681,P/BA-3/BA-4ZPanas
451,1431,M20V00556,FA-2,MASS00780,BA-1/BA-4ABB
452,1653,M20V00382,FA-1,MASS00654,BA-5
453,2327,M20V00896,FA-1,MASS01078,BA-5/BA-8SSP
454,1974,M20V00880,FA-2,MASS01047,BA-4St/P/BA-1
455,1996,M20V00338,FA-2,MASS00604,BA-1/BA-4StABB
456,2490,M20V00685,FA-2,MASS00917,BA-2
457,1457,M20V01001,FA-2,MASS00998,BA-1/BA-4StABB
458,1581,M20V02316,FA-1,MASS01623,BA-5
459,1394,M20V00518,FA-2,MASS00785,BA-2
460,2347,M20V01218,FA-2,MASS01285,P/BA-3
461,1433,M20V01338,FA-2,MASS01364,P/BA-3
462,1709,M20V01267,FA-3,MASS01323,P/BA-3
463,2331,M20V00707,FA-2,MASS00935,P/BA-2
464,12260,M20V00582,FA-2,MASS00832,BA-2Z
465,2050,M20V00044,FA-2,MASS00271,BA-2Z
466,2133,M20V00041,FA-2,MASS00268,BA-2Z
467,1726,M20V00492,FA-1,MASS00764,BA-5
468,1728,M20V00792,FA-1,MASS00991,BA-5
469,3846,M20V01403,FA-2,MASS01384,BA-1/BA-4ZABB
470,1417,M20V01317,FA-2,MASS00268,BA-2Z
471,1291,M20V01521,FA-1,MASS01480,BA-7
472,2128,M20V00363,FA-1,MASS00637,BA-5/BA-8SSP
473,1407,M20V01400,FA-2,MASS01384,BA-1/BA-4ZABB
474,1570,M20V01287,FA-1,MASS01335,BA-5
475,1911,M20V01119,FA-2,MASS01124,BA-1/BA-4ABB
476,1918,M20V01314,FA-2,MASS01353,P/BA-3/BA-4Z
477,1157,M20V00812,FA-1,MASS01005,BA-5
478,1665,M20V01269,FA-1,MASS01325,BA-5
479,1312,M20V00825,FA-1,MASS01015,BA-5
480,1392,M20V00678,FA-2,MASS00634,BA-1/BA-4ABB
481,2805,M20V00140,FA-1,MASS00384,BA-5/BA-8EsSSW
482,2134,M20V01525,FA-1,MASS01483,BA-5
483,1912,M20V00361,FA-1,MASS00635,BA-5/BA-8SSP
484,1603,M20V00509,FA-1,MASS00778,BA-5
