id,total,m20vref,m20v,massref,mass
1311,209,M20V00845,FA-1,MASS01032,BA-5
1312,207,M20V01597,FA-1,MASS01508,BA-7
1313,207,M20V01662,FA-1,MASS01572,BA-7
1314,206,M20V00127,FA-1,MASS00342,BA-5
1315,203,M20V00223,FA-1,MASS00487,BA-5
1316,203,M20V01671,FA-1,MASS00422,BA-7
1317,199,M20V01653,FA-1,MASS01567,BA-7
1318,198,M20V01093,FA-2,MASS01198,BA-2
1319,198,M20V01901,FA-2,MASS01758,P/BA-3/BA-4Cloos
1320,197,M20V00887,FA-2,MASS01071,P/BA-1/BA-4Z
1321,196,M20V01866,FA-2,MASS01731,P/BA-3/BA-4Z
1322,195,M20V00902,FA-2,MASS01085,BA-4St/P/BA-1
1323,195,M20V01814,FA-2,MASS01684,BA-3/BA-4Z
1324,195,M20V01536,FA-1,MASS01488,BA-7
1325,191,M20V00483,FA-2,MASS00753,P/BA-1/BA-4
1326,188,M20V01840,FA-3,MASS01706,P/BA-3
1327,187,M20V01389,FA-1,MASS01105,BA-5
1328,185,M20V01813,FA-2,MASS01683,BA-3/BA-4Z
1329,184,M20V01786,FA-2,MASS01651,BA-3/BA-4Z
1330,183,M20V01865,FA-3,MASS01730,P/BA-3/BA-4Z
1331,182,M20V01409,FA-2,MASS01407,BA-3/BA-4Z
1332,182,M20V00670,FA-1,MASS00904,BA-5/BA-8SSP
1333,181,M20V01736,FA-2,MASS01627,P/BA-2
1334,179,M20V01657,FA-1,MASS00818,BA-7
1335,178,M20V00227,FA-1,MASS00491,BA-5
1336,177,M20V00215,FA-1,MASS00477,BA-7
1337,176,M20V01307,FA-2,MASS01346,P/BA-1/BA-4St
1338,172,M20V01091,FA-1,MASS01196,BA-5
1339,171,M20V01408,FA-1,MASS01406,BA-5
1340,169,M20V00671,FA-1,MASS00905,BA-5/BA-8SSP
1341,166,M20V00352,FA-1,MASS00360,BA-5/BA-8SSW
1342,166,M20V00552,FA-1,MASS00813,BA-5
1343,165,M20V00910,FA-2,MASS00522,P/BA-2/BA-4ABB
1344,164,M20V00190,FA-1,MASS00435,BA-5
1345,163,M20V01271,FA-1,MASS01327,BA-5
1346,162,M20V01139,FA-1,MASS01225,BA-5
1347,159,M20V01666,FA-1,MASS01574,BA-7
1348,159,M20V00251,FA-2,MASS00520,BA-1/BA-4ABB
1349,155,M20V00801,FA-1,MASS00973,BA-5
1350,155,M20V00663,FA-2,MASS00900,P/BA-2
1351,155,M20V01680,FA-1,MASS01227,BA-2
1352,152,M20V00674,FA-1,MASS00908,BA-5/BA-8SSP
1353,152,M20V01054,FA-1,MASS01172,BA-5
1354,150,M20V00888,FA-2,MASS01072,P/BA-1/BA-4Z
1355,150,M20V01194,FA-2,MASS01265,P/BA-3/BA-4
1356,150,M20V00951,FA-1,MASS00938,BA-7/BA-8SSP
1357,149,M20V01778,FA-1,MASS01546,BA-7
1358,148,M20V00966,FA-2,MASS01118,P/BA-1/BA-4ABB
1359,148,M20V00883,FA-1,MASS01068,BA-5
1360,145,M20V00603,FA-1,MASS00852,BA-5
1361,145,M20V01661,FA-1,MASS00940,BA-5
1362,145,M20V00492,FA-1,MASS00764,BA-5
1363,144,M20V00727,FA-3,MASS00950,P/BA-1/BA-4CLOOS
1364,144,M20V01652,FA-1,MASS00767,BA-7
1365,144,M20V00475,FA-2,MASS00744,BA-1/BA-4CLOOS
1366,143,M20V00250,FA-1,MASS00519,BA-5
1367,143,M20V01351,FA-1,MASS01375,BA-5/BA-8SSP
1368,141,M20V01877,FA-1,MASS01739,BA-5
1369,140,M20V00925,FA-2,MASS01097,BA-2
1370,139,M20V02288,FA-1,MASS00655,BA-5
1371,138,M20V00973,FA-2,MASS01123,P/BA-1/BA-4Z
1372,138,M20V01267,FA-3,MASS01323,P/BA-3
1373,137,M20V00088,FA-1,MASS00337,BA-5/BA-7
1374,136,M20V00656,FA-1,MASS00894,BA-5
1375,135,M20V02301,FA-1,MASS02007,BA-7
1376,135,M20V00869,FA-2,MASS01050,BA-1/BA-4
1377,135,M20V01587,FA-1,MASS01524,BA-7
1378,134,M20V01663,FA-1,MASS01507,BA-7
1379,133,M20V01785,FA-1,MASS00763,BA-7
1380,131,M20V00844,FA-1,MASS01031,BA-5/BA-8SSP
1381,129,M20V02252,FA-3,MASS01942,BA-2
1382,129,M20V00212,FA-1,MASS00474,BA-5
1383,129,M20V01884,FA-2,MASS01744,P/BA-1/BA-4
1384,128,M20V00424,FA-2,MASS00694,P/BA-1/BA-4ABB
